STATE/UT,Year,CAUSE,Male,Female,Total
MADHYA PRADESH,2013,Bus (Government),5,3,8
MADHYA PRADESH,2013,Bus (Private),504,131,635
MADHYA PRADESH,2013,Tempo/Vans (Government),3,2,5
MADHYA PRADESH,2013,Tempo/Vans (Private),270,30,300
MADHYA PRADESH,2013,Jeep (Government),31,14,45
MADHYA PRADESH,2013,Jeep (Private),596,106,702
MADHYA PRADESH,2013,Car (Government),7,1,8
MADHYA PRADESH,2013,Car (Private),493,88,581
MADHYA PRADESH,2013,Three Wheeler,195,42,237
MADHYA PRADESH,2013,Two Wheeler,2380,334,2714
MADHYA PRADESH,2013,Bicycle,103,15,118
MADHYA PRADESH,2013,Pedestrian,1102,250,1352
MADHYA PRADESH,2013,Others (Please Specify),692,168,860
MADHYA PRADESH,2013,Total Deaths (Persons),7585,1392,8977
MADHYA PRADESH,2013,Total Truck/Lorry,1204,208,1412
MADHYA PRADESH,2013,Total Bus,509,134,643
MADHYA PRADESH,2013,Total Tempo/Vans,273,32,305
MADHYA PRADESH,2013,Total Jeep,627,120,747
MADHYA PRADESH,2013,Total Car,500,89,589
MAHARASHTRA,2013,Truck/Lorry (Government),11,4,15
MAHARASHTRA,2013,Truck/Lorry (Private),1573,153,1726
MAHARASHTRA,2013,Bus (Government),196,56,252
MAHARASHTRA,2013,Bus (Private),275,60,335
MAHARASHTRA,2013,Tempo/Vans (Government),5,1,6
MAHARASHTRA,2013,Tempo/Vans (Private),678,81,759
MAHARASHTRA,2013,Jeep (Government),5,0,5
MAHARASHTRA,2013,Jeep (Private),829,129,958
MAHARASHTRA,2013,Car (Government),2,0,2
MAHARASHTRA,2013,Car (Private),994,194,1188
MAHARASHTRA,2013,Three Wheeler,483,112,595
MAHARASHTRA,2013,Two Wheeler,4110,497,4607
MAHARASHTRA,2013,Bicycle,199,15,214
MAHARASHTRA,2013,Pedestrian,1496,361,1857
MAHARASHTRA,2013,Others (Please Specify),657,69,726
MAHARASHTRA,2013,Total Deaths (Persons),11513,1732,13245
MAHARASHTRA,2013,Total Truck/Lorry,1584,157,1741
MAHARASHTRA,2013,Total Bus,471,116,587
MAHARASHTRA,2013,Total Tempo/Vans,683,82,765
MAHARASHTRA,2013,Total Jeep,834,129,963
MAHARASHTRA,2013,Total Car,996,194,1190
MANIPUR,2013,Truck/Lorry (Government),1,0,1
MANIPUR,2013,Truck/Lorry (Private),47,10,57
MANIPUR,2013,Bus (Government),2,0,2
MANIPUR,2013,Bus (Private),7,0,7
MANIPUR,2013,Tempo/Vans (Government),0,0,0
MANIPUR,2013,Tempo/Vans (Private),2,0,2
MANIPUR,2013,Jeep (Government),0,0,0
MANIPUR,2013,Jeep (Private),7,0,7
MANIPUR,2013,Car (Government),0,0,0
MANIPUR,2013,Car (Private),7,1,8
MANIPUR,2013,Three Wheeler,3,1,4
MANIPUR,2013,Two Wheeler,21,0,21
MANIPUR,2013,Bicycle,0,0,0
MANIPUR,2013,Pedestrian,31,8,39
MANIPUR,2013,Others (Please Specify),13,4,17
MANIPUR,2013,Total Deaths (Persons),141,24,165
MANIPUR,2013,Total Truck/Lorry,48,10,58
MANIPUR,2013,Total Bus,9,0,9
MANIPUR,2013,Total Tempo/Vans,2,0,2
MANIPUR,2013,Total Jeep,7,0,7
MANIPUR,2013,Total Car,7,1,8
MEGHALAYA,2013,Truck/Lorry (Government),1,0,1
MEGHALAYA,2013,Truck/Lorry (Private),46,0,46
MEGHALAYA,2013,Bus (Government),1,0,1
MEGHALAYA,2013,Bus (Private),7,2,9
MEGHALAYA,2013,Tempo/Vans (Government),0,0,0
MEGHALAYA,2013,Tempo/Vans (Private),11,0,11
MEGHALAYA,2013,Jeep (Government),0,1,1
MEGHALAYA,2013,Jeep (Private),8,3,11
MEGHALAYA,2013,Car (Government),0,0,0
MEGHALAYA,2013,Car (Private),26,8,34
MEGHALAYA,2013,Three Wheeler,9,4,13
MEGHALAYA,2013,Two Wheeler,24,2,26
MEGHALAYA,2013,Bicycle,3,0,3
MEGHALAYA,2013,Pedestrian,12,1,13
MEGHALAYA,2013,Others (Please Specify),1,0,1
MEGHALAYA,2013,Total Deaths (Persons),149,21,170
MEGHALAYA,2013,Total Truck/Lorry,47,0,47
MEGHALAYA,2013,Total Bus,8,2,10
MEGHALAYA,2013,Total Tempo/Vans,11,0,11
MEGHALAYA,2013,Total Jeep,8,4,12
MEGHALAYA,2013,Total Car,26,8,34
MIZORAM,2013,Truck/Lorry (Government),0,0,0
MIZORAM,2013,Truck/Lorry (Private),22,2,24
MIZORAM,2013,Bus (Government),0,0,0
MIZORAM,2013,Bus (Private),2,5,7
MIZORAM,2013,Tempo/Vans (Government),0,0,0
MIZORAM,2013,Tempo/Vans (Private),0,0,0
MIZORAM,2013,Jeep (Government),0,0,0
MIZORAM,2013,Jeep (Private),3,2,5
MIZORAM,2013,Car (Government),0,0,0
MIZORAM,2013,Car (Private),8,2,10
MIZORAM,2013,Three Wheeler,0,0,0
MIZORAM,2013,Two Wheeler,20,6,26
MIZORAM,2013,Bicycle,0,0,0
MIZORAM,2013,Pedestrian,0,2,2
MIZORAM,2013,Others (Please Specify),23,0,23
MIZORAM,2013,Total Deaths (Persons),78,19,97
MIZORAM,2013,Total Truck/Lorry,22,2,24
MIZORAM,2013,Total Bus,2,5,7
MIZORAM,2013,Total Tempo/Vans,0,0,0
MIZORAM,2013,Total Jeep,3,2,5
MIZORAM,2013,Total Car,8,2,10
NAGALAND,2013,Truck/Lorry (Government),0,0,0
NAGALAND,2013,Truck/Lorry (Private),1,0,1
NAGALAND,2013,Bus (Government),1,2,3
NAGALAND,2013,Bus (Private),1,0,1
NAGALAND,2013,Tempo/Vans (Government),0,0,0
NAGALAND,2013,Tempo/Vans (Private),2,0,2
NAGALAND,2013,Jeep (Government),0,0,0
NAGALAND,2013,Jeep (Private),0,0,0
NAGALAND,2013,Car (Government),11,1,12
NAGALAND,2013,Car (Private),2,0,2
NAGALAND,2013,Three Wheeler,4,0,4
NAGALAND,2013,Two Wheeler,5,0,5
NAGALAND,2013,Bicycle,0,0,0
NAGALAND,2013,Pedestrian,4,1,5
NAGALAND,2013,Others (Please Specify),0,0,0
NAGALAND,2013,Total Deaths (Persons),31,4,35
NAGALAND,2013,Total Truck/Lorry,1,0,1
NAGALAND,2013,Total Bus,2,2,4
NAGALAND,2013,Total Tempo/Vans,2,0,2
NAGALAND,2013,Total Jeep,0,0,0
NAGALAND,2013,Total Car,13,1,14
ODISHA,2013,Truck/Lorry (Government),1,0,1
ODISHA,2013,Truck/Lorry (Private),900,61,961
ODISHA,2013,Bus (Government),3,0,3
ODISHA,2013,Bus (Private),198,59,257
ODISHA,2013,Tempo/Vans (Government),0,1,1
ODISHA,2013,Tempo/Vans (Private),207,74,281
ODISHA,2013,Jeep (Government),4,1,5
ODISHA,2013,Jeep (Private),135,24,159
ODISHA,2013,Car (Government),0,0,0
ODISHA,2013,Car (Private),286,71,357
ODISHA,2013,Three Wheeler,169,46,215
ODISHA,2013,Two Wheeler,906,143,1049
ODISHA,2013,Bicycle,59,7,66
ODISHA,2013,Pedestrian,123,43,166
ODISHA,2013,Others (Please Specify),481,60,541
ODISHA,2013,Total Deaths (Persons),3472,590,4062
ODISHA,2013,Total Truck/Lorry,901,61,962
ODISHA,2013,Total Bus,201,59,260
ODISHA,2013,Total Tempo/Vans,207,75,282
ODISHA,2013,Total Jeep,139,25,164
ODISHA,2013,Total Car,286,71,357
PUNJAB,2013,Truck/Lorry (Government),22,9,31
PUNJAB,2013,Truck/Lorry (Private),697,113,810
PUNJAB,2013,Bus (Government),121,23,144
PUNJAB,2013,Bus (Private),263,65,328
